original_language,original_title,overview,popularity,release_date,vote_average,vote_count,movie,year,status
en,Alfie,A young man leads a promiscuous lifestyle until several life reversals make him rethink his purposes and goals in life.,10.385,1966-03-29,6.52,172.0,Alfie,1966,original
en,The Amityville Horror,George Lutz and his wife Kathleen move into their Long Island dream house with their children only for their lives to be turned into a hellish nightmare. The legacy of a murder committed in the house gradually affects the family and a priest is brought in to try and exorcise the demonic presence from their home.,18.04,1979-07-26,6.289,762.0,The Amityville Horror,1979,original
en,Anastasia,"Russian exiles in Paris plot to collect ten million pounds from the Bank of England by grooming a destitute, suicidal girl to pose as heir to the Russian throne. While Bounin is coaching her, he comes to believe that she is really Anastasia. In the end, the Empress must decide her claim.",8.766,1956-12-13,6.838,148.0,Anastasia,1956,original
en,And Soon the Darkness,"Two young English women go on a cycling tour of the French countryside. When one of them goes missing, the other begins to search for her. But who can she trust?",5.166,1970-09-10,6.454,87.0,And Soon the Darkness,1970,original
en,Angels in the Outfield,The short-tempered manager of the Pittsburgh Pirates mends his ways in return for a little divine assistance.,3.308,1951-10-19,6.7,17.0,Angels in the Outfield,1951,original
fr,Anthony Zimmer,"In Paris, the international police force and the Russian mafia are chasing Anthony Zimmer, an intelligent man responsible for laundry of dirty money in France. Zimmer had extensive plastic surgery, and his new face and voice are completely unknown. The only means to reach Zimmer is through his beloved mistress Chiara, who is under surveillance of the police and the mobsters. While traveling by train to the country nearby Nice, the common man François Taillandier, who has the same body shape of Zimmer, is select by Chiara as if he were Zimmer and used as a bait to lure those that are pursuing her. When Taillandier is chased by the professional Russian killers, he runs the French police when the real situation begins to be disclosed to him. Written by Claudio Carvalho, Rio de Janeiro, Brazil",9.584,2005-04-01,6.317,183.0,Anthony Zimmer,2005,original
it,Antropophagus,"Tourists take a boat to a remote island, where they find that most of the people have disappeared, and something is stalking them. They find a hidden room in the big mansion on a hill, and an ancient diary, which gives them clues to the source of the terror.",10.356,1980-08-07,5.413,132.0,Antropophagus,1980,original
fr,Pour elle,"Lisa and Julien are married and lead a happy uneventful life with their son Oscar. But their life radically changes one morning, when the police comes to arrest Lisa on murder charges. She's sentenced to 20 years of prison. Convinced of his wife's innocence, Julien decides to act. How far will he be willing to go for her?",6.541,2008-12-03,6.914,222.0,Anything for Her,2008,original
fr,L'Appartement,"Max is a former playboy who has decided to settle down by marrying his current love, Muriel. However, when Max catches a glimpse of the great lost love of his life, he becomes obsessed with rekindling their relationship.",13.338,1996-07-27,6.715,177.0,The Apartment,1996,original
en,April Fool's Day,"A group of eight college friends gather together at an island mansion belonging to heiress Muffy St. John to celebrate their final year of school. Soon, they begin to fall victim to an unseen murderer over the April Fool's Day weekend, but nothing is as it seems.",8.905,1986-03-27,6.029,275.0,April Fool's Day,1986,original
en,Around the World in Eighty Days,"Based on the famous book by Jules Verne the movie follows Phileas Fogg on his journey around the world. Which has to be completed within 80 days, a very short period for those days.",11.775,1956-10-17,6.698,419.0,Around the World in 80 Days,1956,original
en,The Arena,"Female gladiators fight to the death. Inspired by the story of Spartacus, follow the adventures of a bevy of slave girls who, upon finding themselves thrust into the gladiator ring, mount a vicious rebellion to fight their way to freedom.",6.785,1974-03-13,5.515,33.0,The Arena,1974,original
en,Arthur,Arthur is a 30-year-old child who will inherit $750 million if he complies with his family's demands and marries the woman of their choosing.,10.824,1981-07-17,6.504,360.0,Arthur,1981,original
en,Assault on Precinct 13,The lone inhabitants of an abandoned police station are under attack by the overwhelming numbers of a seemingly unstoppable street gang.,13.12,1976-11-05,7.274,900.0,Assault on Precinct 13,1976,original
en,Attack of the 50 Foot Woman,"When an abused wife grows to giant size because of an alien encounter and an aborted murder attempt, she goes after her cheating husband with revenge on her mind.",16.192,1958-05-18,4.811,119.0,Attack of the 50 Foot Woman,1958,original
ta,ஆட்டோகிராஃப்,"Senthil, an advertising executive, decides to invite his old friends to his wedding. His past is unraveled as he sets out on a journey to meet his old friends and lovers.",1.105,2004-02-20,7.5,10.0,Autograph,2004,original
en,The Awful Truth,Unfounded suspicions lead a married couple to begin divorce proceedings.,0.6,1925-04-06,5.0,1.0,The Awful Truth,1925,original
en,Back Street,"A woman's love for and devotion to a married man results in her being relegated to the ""back streets"" of his life.",0.905,1932-08-04,6.0,10.0,Back Street,1932,original
en,The Bad News Bears,"An aging, down-on-his-luck ex-minor leaguer coaches a team of misfits in an ultra-competitive California little league.",10.293,1976-04-07,6.921,253.0,The Bad News Bears,1976,original
en,The Bad Seed,"Air Force Colonel Kenneth Penmark and his wife, Christine, dote on their daughter, Rhoda -- as does their lonely landlady, Monica Breedlove. But self-centered Rhoda has a secret tendency for selfishness and loves to accumulate gifts, whether given or stolen, in her room. Christine keeps her knowledge of her daughter's darker side to herself, but when a schoolmate of Rhoda's dies mysteriously, her self-deception unravels.",6.7,1956-09-12,7.105,205.0,The Bad Seed,1956,original
en,Ball of Fire,"A group of academics have spent years shut up in a house working on the definitive encyclopedia. When one of them discovers that his entry on slang is hopelessly outdated, he ventures into the wide world to learn about the evolving language. Here he meets Sugarpuss O’Shea, a nightclub singer, who’s on top of all the slang—and, it just so happens, needs a place to stay.",7.526,1941-12-02,7.4,167.0,Ball of Fire,1941,original
th,บางกอกแดนเจอรัส เพชฌฆาตเงียบ อันตราย,"Kong, a deaf-mute, lives a life of quiet desperation working for Bangkok mobsters. Despite his disability, Kong's mentor Joe trains him to be a stone-cold assassin. After a brutal hit abroad, Kong returns to Bangkok and falls in love with young pharmacy clerk. But when Joe's girlfriend Aom is raped, the duo risk everything for revenge.",6.378,2000-11-24,5.619,59.0,Bangkok Dangerous,1999,original
en,The Barefoot Executive,"In the great Disney tradition of wild family fun, a young Kurt Russell stars as Steven Post - an ambitious mailroom clerk at a second-rate TV network. With his eye on the boardroom, and getting nowhere with the studio's top dog, he makes a career-changing discovery. His girlfriend's lovable pet chimp can pick a hit show every time! His secret for success turns into a madcap monkey business when he makes vice president and jealous rivals want in on the act. Ride along with narrow escapes and a classic cast featuring Joe Flynn and Harry Morgan in a comedic climb up the corporate ladder that will leave you howling for more!",2.586,1971-03-17,5.389,27.0,The Barefoot Executive,1971,original
en,The Barker,"A successful carnival barker deals with the arrival of his eager son, who he'd hoped would stay far from the carnival world, his son's entanglement with a showgirl, and his own jealous mistress.",1.4,1928-12-09,0.0,0.0,The Barker,1928,original
en,The Barretts of Wimpole Street,"Remarkable poet Elizabeth Barrett is slowly recovering from a crippling illness with the help of her siblings, especially her youngest sister, Henrietta, but feels stifled by the domestic tyranny of her wealthy widowed father. When she meets fellow poet Robert Browning in a romantic first encounter, her heart belongs to him. However, her controlling father has no intention of allowing her out of his sight.",1.675,1934-09-21,6.3,13.0,The Barretts of Wimpole Street,1934,original
en,The Bat,A masked criminal who dresses like a giant bat terrorizes the guests at an old house rented by a mystery writer.,2.177,1926-03-14,6.3,20.0,The Bat,1926,original
en,The Battle of the Sexes,"Frank Andrews is a successful businessman. He has always found pride and joy in the company of his wife, son and daughter. He suddenly finds himself enthralled by the advances of a gay young woman siren, who lives in the same apartment house as he does. So marked an influence does she have over him as time progresses that at last he quite forgets his home ties, neglects his family, and goes the way of many other men who have forgotten the meaning of paternity and blood ties. The story is advanced through many scenes enacted with the accompanying notes of New York's night life, and the denouement comes when the faithful wife discovers her husband's infidelity. At this time the mother's mind nearly loses balance, while Jane, the beautiful daughter, crazed by the grief of her mother, determines to take part in the tragedy. With revolver in hand she steals up to the apartment of the woman, but her frail nature is overcome by the temperamental anger of the woman and her mission fails.",0.6,1914-04-12,0.0,0.0,The Battle of the Sexes,1914,original
en,Beauty and the Beast,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",50.717,1991-10-22,7.732,9010.0,Beauty and the Beast,1991,original
en,Bedazzled,"Stanley is infatuated with Margaret, the statuesque waitress who works with him. He meets George Spiggott AKA the devil and sells his soul for 7 wishes, which Stanley uses to try and make Margaret his own first as an intellectual, then as a rock star, then as a wealthy industrialist. As each fails, he becomes more aware of how empty his life had been and how much more he has to live for.",12.383,1967-10-30,6.172,125.0,Bedazzled,1967,original
en,Bedtime Story,"Benson, is a Casanova who tricks women into having sex with him before leaving them. He is content with his game until he meets Jamison, a real operator who poses as an exiled prince and not only gets women to share his bed but also to give him money to help him fund his supposed counter-revolution.",2.801,1964-06-10,6.1,33.0,Bedtime Story,1964,original
en,Ben-Hur: A Tale of the Christ,"Erstwhile childhood friends, Judah Ben-Hur and Messala meet again as adults, this time with Roman officer Messala as conqueror and Judah as a wealthy, though conquered, Israelite. A slip of a brick during a Roman parade causes Judah to be sent off as a galley slave, his property confiscated and his mother and sister imprisoned. Years later, as a result of his determination to stay alive and his willingness to aid his Roman master, Judah returns to his homeland an exalted and wealthy Roman athlete. Unable to find his mother and sister, and believing them dead, he can think of nothing else than revenge against Messala.",9.738,1925-12-25,7.422,83.0,Ben-Hur: A Tale of the Christ,1925,original
en,Beyond a Reasonable Doubt,"A newspaper publisher, wanting to prove a point about the insufficiency of circumstantial evidence, talks his possible son-in-law Tom into a hoax in an attempt to expose ineptitude of the city's hard-line district attorney. The plan is to have Tom plant clues leading to his arrest for killing a female nightclub dancer. Once Tom is found guilty, he is to reveal the setup and humiliate the DA.",5.305,1956-09-13,6.998,89.0,Beyond a Reasonable Doubt,1956,original
en,The Big Clock,"Stroud, a crime magazine's crusading editor has to post-pone a vacation with his wife, again, when a glamorous blonde is murdered and he is assigned by his publishing boss Janoth to find the killer. As the investigation proceeds to its conclusion, Stroud must try to disrupt his ordinarily brilliant investigative team as they increasingly build evidence (albeit wrong) that he is the killer.",5.893,1948-03-18,7.323,133.0,The Big Clock,1948,original
it,I soliti ignoti,"Best friends Peppe and Mario are thieves, but they're not very good at it. Still, Peppe thinks that he's finally devised a master heist that will make them rich. With the help of some fellow criminals, he plans to dig a tunnel from a rented apartment to the pawnshop next door, where they can rob the safe. But his plan is far from foolproof, and the fact that no one in the group has any experience digging tunnels proves to be the least of their problems.",6.391,1958-07-26,8.115,613.0,Big Deal on Madonna Street,1958,original
ta,பில்லா,"The intertwined stories of an international Don in Malaysia, David Billa, chased by the cops, an Indian police officer, a woman who wants to avenge the death of her brother, and a lowly thief, Velu who shares with Billa, an unusual connection.",4.707,2007-12-14,6.708,47.0,Billa,2007,original
en,The Bishop's Wife,"An Episcopal Bishop, Henry Brougham, has been working for months on the plans for an elaborate new cathedral which he hopes will be paid for primarily by a wealthy, stubborn widow. He is losing sight of his family and of why he became a churchman in the first place. Enter Dudley, an angel sent to help him. Dudley does help everyone he meets, but not necessarily in the way they would have preferred. With the exception of Henry, everyone loves him, but Henry begins to believe that Dudley is there to replace him, both at work and in his family's affections, as Christmas approaches.",8.545,1947-12-25,7.11,196.0,The Bishop's Wife,1947,original
en,Black Christmas,"During their Christmas break, a group of sorority girls are stalked by a stranger who leaves them threatening phone calls.",8.917,1974-10-11,6.916,635.0,Black Christmas,1974,original
en,Blazing Saddles,"A town—where everyone seems to be named Johnson—stands in the way of the railroad. In order to grab their land, robber baron Hedley Lamarr sends his henchmen to make life in the town unbearable. After the sheriff is killed, the town demands a new sheriff from the Governor, so Hedley convinces him to send the town the first black sheriff in the west.",15.118,1974-02-07,7.288,1598.0,Blazing Saddles,1974,original
ja,Blind,The film imagines a parallel-universe version of Japan which also suffered a nuclear crisis but was less lucky than its real world counterpart. It's a place where fallout readings are a part of the weather forecast and gas masks are as ubiquitous as black suits and Gucci bags.,0.6,2011-08-10,0.0,0.0,Blind,2011,original
en,The Blob,"A drive-in favorite, this sci-fi classic follows teenagers Steve and his best girl, Jane, as they try to protect their hometown from a gelatinous alien life form that engulfs everything it touches. The first to discover the substance and live to tell about it, Steve and Jane witness the blob destroying an elderly man, then it growing to a terrifying size. But no one else has seen the goo, and policeman Dave refuses to believe the kids without proof.",10.68,1958-09-10,6.235,507.0,The Blob,1958,original
de,Der blaue Engel,"Prim professor Immanuel Rath finds some of his students ogling racy photos of cabaret performer Lola Lola and visits a local club, The Blue Angel, in an attempt to catch them there. Seeing Lola perform, the teacher is filled with lust, eventually resigning his position at the school to marry the young woman. However, his marriage to a coquette -- whose job is to entice men -- proves to be more difficult than Rath imagined.",7.828,1930-04-01,7.362,268.0,The Blue Angel,1930,original
fr,La Bonne Année,"Released from prison under a New Year amnesty, a criminal tries to pick up the threads of a life changed not only by his daring plan to rob a jewelry store in out-of-season Cannes, but also by a very special someone he met there.",4.192,1973-04-13,7.3,50.0,La bonne année,1973,original
en,Born Yesterday,"Uncouth, loud-mouth junkyard tycoon Harry Brock descends upon Washington D.C. to buy himself a congressman or two, bringing with him his mistress, ex-showgirl Billie Dawn.",7.46,1950-12-25,7.193,135.0,Born Yesterday,1950,original
fr,Boudu sauvé des eaux,"Michel Simon gives one of the most memorable performances in screen history as Boudu, a Parisian tramp who takes a suicidal plunge into the Seine and is rescued by a well-to-do bookseller, Edouard Lestingois. The Lestingois family decides to take in the irrepressible bum, and he shows his gratitude by shaking the household to its foundations. With Boudu Saved from Drowning, legendary director Jean Renoir takes advantage of a host of Parisian locations and the anarchic charms of his lead actor to create an effervescent satire of the bourgeoisie.",7.161,1932-11-11,6.971,105.0,Boudu Saved from Drowning,1932,original
fr,À bout de souffle,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he attempts to persuade a girl to run away to Italy with him.",13.421,1960-03-16,7.592,1571.0,Breathless,1960,original
en,Brewster's Millions,The first movie adaptation of the famous novel where a young man has to spend a fortune on 60 days to inherit an even larger sum of money. Considered to be a lost film.,0.6,1914-04-14,0.0,0.0,Brewster's Millions,1914,original
en,Brian's Song,Based on the real-life relationship between teammates Brian Piccolo and Gale Sayers and the bond established when Piccolo discovers that he is dying.,5.528,1971-11-30,7.413,63.0,Brian's Song,1971,original
en,Bride Wars,Two best friends become rivals when their respective weddings are accidentally booked for the same day.,18.856,2009-01-09,6.242,2770.0,Bride Wars,2009,original
en,Brighton Rock,"Centring on the activities of a gang of assorted criminals and, in particular, their leader – a vicious young hoodlum known as ""Pinkie"" – the film's main thematic concern is the criminal underbelly evident in inter-war Brighton.",5.527,1948-01-09,6.931,94.0,Brighton Rock,1948,original
en,Broadway Bill,"Tycoon J.L. Higgins controls his whole family, but one of his sons- in-law, Dan Brooks and his daughter Alice are fed up with that. Brooks quits his job as manager of J.L.'s paper box factory and devotes his life to his racing horse Broadway Bill, but his bank- roll is thin and the luck is against him, he is arrested because of $150 he owes somebody for horse food, but suddenly a planed fraud by somebody else seems to offer him a chance...",2.367,1934-11-30,6.2,15.0,Broadway Bill,1934,original
da,Brødre,"A Danish officer, Michael, is sent away to the International Security Assistance Force operation in Afghanistan for three months. His first mission there is to find a young radar technician who had been separated from his squad some days earlier. While on the search, his helicopter is shot down and he is taken as a prisoner of war, but is reported dead to the family.",5.645,2004-08-27,6.621,87.0,Brødre,2004,original
en,The Buccaneer,French pirate Jean Lafitte rescues a girl and joins the War of 1812.,1.058,1938-02-04,6.7,6.0,The Buccaneer,1938,original
en,A Bucket of Blood,"Nerdy Walter Paisley, a maladroit busboy at a beatnik café who doesn't fit in with the cool scene around him, attempts to woo his beautiful co-worker, Carla, by making a bust of her. When his klutziness results in the death of his landlady's cat, he panics and hides its body under a layer of plaster. But when Carla and her friends enthuse over the resulting artwork, Walter decides to create some bigger and more elaborate pieces using the same artistic process.",7.949,1959-10-21,6.508,121.0,A Bucket of Blood,1959,original
ja,ビルマの竪琴,"In the War's closing days, when a conscience-driven Japanese soldier fails to get his countrymen to surrender to overwhelming force, he adopts the lifestyle of a Buddhist monk.",8.199,1956-01-21,7.879,120.0,The Burmese Harp,1956,original
en,Cabin Fever,"A group of five college graduates rent a cabin in the woods and begin to fall victim to a horrifying flesh-eating virus, which attracts the unwanted attention of the homicidal locals.",9.265,2002-09-14,5.7,1128.0,Cabin Fever,2002,original
de,Das Cabinet des Dr. Caligari,"Francis, a young man, recalls in his memory the horrible experiences he and his fiancée Jane recently went through. Francis and his friend Alan visit The Cabinet of Dr. Caligari, an exhibit where the mysterious doctor shows the somnambulist Cesare, and awakens him for some moments from his death-like sleep.",15.974,1920-02-27,7.963,1312.0,The Cabinet of Dr. Caligari,1920,original
fr,La Cage aux folles,Two gay men living in St. Tropez have their lives turned upside down when the son of one of the men announces he is getting married. They try to conceal their lifestyle and their ownership of the transvestite club downstairs when the fiancée and her parents come for dinner.,8.557,1978-10-25,6.877,346.0,La Cage aux Folles,1978,original
en,Can't Buy Me Love,"Nerdy high schooler Ronald Miller rescues cheerleader Cindy Mancini from parental punishment after she accidentally destroys her mother's designer clothes. Ronald agrees to pay for the $1,000 outfit on one condition: that she will act as though they're a couple for an entire month. As the days pass, however, Cindy grows fond of Ronald, making him popular. But when Ronald's former best friend gets left behind, he realizes that social success isn't everything.",11.99,1987-08-14,6.976,581.0,Can’t Buy Me Love,1987,original
en,Cape Fear,"Sam Bowden witnesses a rape committed by Max Cady and testifies against him. When released after 8 years in prison, Cady begins stalking Bowden and his family but is always clever enough not to violate the law.",13.539,1962-04-12,7.432,493.0,Cape Fear,1962,original
en,The Captain's Table,"A captain is promoted by his company from tramp steamers to their flagship passenger liner. Although he is a thoroughly competent sailor ready to take charge of such a ship, he is less prepared for the social duties his new position involves, not least the way he in which becomes the target for all the unattached women on board.",0.6,1959-01-06,6.333,3.0,The Captain's Table,1959,original
en,Carnival of Souls,"Mary Henry ends up the sole survivor of a fatal car accident through mysterious circumstances. Trying to put the incident behind her, she moves to Utah and takes a job as a church organist. But her fresh start is interrupted by visions of a fiendish man. As the visions begin to occur more frequently, Mary finds herself drawn to the deserted carnival on the outskirts of town. The strangely alluring carnival may hold the secret to her tragic past.",8.924,1962-11-02,6.968,387.0,Carnival of Souls,1962,original
en,Carrie,"Carrie White, a shy and troubled teenage girl who is tormented by her high school peers and her fanatically religious mother, begins to use her powers of telekinesis to exact revenge upon them.",24.815,1976-10-31,7.289,3277.0,Carrie,1976,original
en,The Cat and the Canary,"Rich old Cyrus West's relatives are waiting for him to die so they can inherit. But he stipulates that his will be read 20 years after his death. On the appointed day his expectant heirs arrive at his brooding mansion. The will is read and it turns out that Annabelle West, the only heir with his name left, inherits, if she is deemed sane. If she isn't, the money and some diamonds go to someone else, whose name is in a sealed envelope. Before he can reveal the identity of her successor to Annabelle, Mr. Crosby, the lawyer, disappears. The first in a series of mysterious events, some of which point to Annabelle in fact being unstable.",3.411,1927-09-09,6.804,56.0,The Cat and the Canary,1927,original
en,Cat People,"Serbian fashion designer Irena Dubrovna and American marine engineer Oliver Reed meet in Central Park, fall in love, and marry after a brief courtship; but Irena won't consummate the union for fear that she will turn into a panther compelled to kill her lover, pursuant to a belief harbored by her home village.",10.497,1942-12-05,6.91,481.0,Cat People,1942,original
en,The Champ,A broken-down alcoholic prizefighter struggles to keep custody of his adoring son.,4.188,1931-11-21,7.049,41.0,The Champ,1931,original
en,Charade,"After Regina Lampert falls for the dashing Peter Joshua on a skiing holiday in the French Alps, she discovers upon her return to Paris that her husband has been murdered. Soon, she and Peter are giving chase to three of her late husband's World War II cronies, Tex, Scobie and Gideon, who are after a quarter of a million dollars the quartet stole while behind enemy lines. But why does Peter keep changing his name?",15.044,1963-12-05,7.697,1172.0,Charade,1963,original
en,Charlotte's Web,"Wilbur the pig is scared of the end of the season, because he knows that come that time, he will end up on the dinner table. He hatches a plan with Charlotte, a spider that lives in his pen, to ensure that this will never happen.",9.05,1973-03-01,6.749,325.0,Charlotte's Web,1973,original
en,Cheaper by the Dozen,"""Cheaper by the Dozen"", based on the real-life story of the Gilbreth family, follows them from Providence, Rhode Island, to Montclair, New Jersey, and details the amusing anecdotes found in large families.",4.844,1950-03-31,6.375,68.0,Cheaper by the Dozen,1950,original
en,Chicken Little,"It's a peaceful day at the local poultry farm until Foxy Loxy happens along intent on a chicken dinner. He takes the advice of a book on psychology by striking ""the least intelligent"" first and convinces dim witted Chicken Little the sky is falling. Chicken Little spreads the word but when head man Cocky Locky proves the story to be false, Foxy Loxy spreads rumors that Cocky Locky isn't the smart chicken he appears to be, which leads to the ultimate undoing of the chickens at the hands of Foxy Loxy.",2.614,1943-12-17,6.975,40.0,Chicken Little,1943,original
en,Child's Play,"A single mother gives her son a beloved doll for his birthday, only to discover that it is possessed by the soul of a serial killer.",30.638,1988-11-09,6.666,2518.0,Child's Play,1988,original
ml,ചിന്താമണി കൊലക്കേസ്,"The story is centered on Lal Krishna Viradiar (Suresh Gopi), the enigmatic criminal lawyer with an even more enigmatic mission. Lal Krishna helps out hardened criminals to get away from the courts. But later he pursues and takes them out in a bizarre show of vigilante justice.",1.209,2006-04-14,6.125,16.0,Chinthamani Kolacase,2006,original
en,Christmas Eve,"The greedy nephew of eccentric Matilda Reid seeks to have her judged incompetent so he can administer her wealth, but she will be saved if her three long-lost adopted sons appear for a Christmas Eve reunion. Separate stories reveal Michael as a bankrupt playboy loved by loyal Ann; Mario as a seemingly shady character tangling with a Nazi war criminal in South America; Jonathan as a hard-drinking rodeo rider intent on a flirtatious social worker. Is there hope for Matilda?",2.031,1947-10-31,5.8,8.0,Christmas Eve,1947,original
en,Christmas in Connecticut,"While recovering in a hospital, war hero Jefferson Jones grows familiar with the ""Diary of a Housewife"" column written by Elizabeth Lane. Jeff's nurse arranges with Elizabeth's publisher, Alexander Yardley, for Jeff to spend the holiday at Elizabeth's bucolic Connecticut farm with her husband and child. But the column is a sham, so Elizabeth and her editor, Dudley Beecham, in fear of losing their jobs, hasten to set up the single, childless and entirely  nondomestic Elizabeth on a country farm.",7.644,1945-07-27,7.05,120.0,Christmas in Connecticut,1945,original
en,Cinderella,"Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!",57.827,1950-02-22,7.037,6070.0,Cinderella,1950,original
en,Clash of the Titans,"To win the right to marry his love, the beautiful princess Andromeda, and fulfil his destiny, half-God-half-mortal Perseus must complete various tasks including taming Pegasus, capturing Medusa's head and battling the feared Kraken.",18.192,1981-06-12,6.852,640.0,Clash of the Titans,1981,original
ml,ക്ലാസ്‌മേറ്റ്സ്,"The story revolves around the college graduate class of 1992. In 2006, working in different corners of the world, the friends get together for a class reunion to revive the joy and laughter of their student days. Shockingly, on the night of the reunion, one of the classmates is almost murdered and goes into a coma.",3.079,2006-08-25,7.484,32.0,Classmates,2006,original
fr,Les Compères,"Unable to find her runaway son, a woman deceives two of her ex-lovers from her youth, a mild-mannered teacher and a tough journalist, that each is the real father in order to obtain their help.",4.47,1983-11-23,6.6,344.0,Les Compères,1983,original
en,The Computer Wore Tennis Shoes,"Some college students manage to persuade the town's big businessman, A. J. Arno, to donate a computer to their college. When the problem- student, Dexter Riley, tries to fix the computer, he gets an electric shock and his brain turns to a computer; now he remembers everything he reads. Unfortunately, he also remembers information which was in the computer's memory, like Arno's illegal businesses..",8.216,1969-12-29,6.176,108.0,The Computer Wore Tennis Shoes,1969,original
,,,,,,,Confession of Murder aka Naega salinbeomida,2012,original
fr,Le Convoyeur,"Vigilante, a small armored truck company, is in full crisis mode. Victim of three violent hold-ups in a year, which left no survivors, the company is on the verge of bankruptcy and its employees are extremely worried. Some even suggest a complicity between the robbers and the firm.  It is in this difficult context that a man, Alexandre Demarre, one morning presents himself to start his first day of work at Vigilante.",6.102,2004-04-14,6.31,147.0,Le Convoyeur,2004,original
fr,Le Corbeau,"Remy Germain is a doctor in a French town who becomes the focus of a vicious smear campaign, as letters accusing him of having an affair and performing unlawful abortions are mailed to village leaders. The mysterious writer, who signs each letter as ""Le Corbeau"" (The Raven) soon targets the whole town, exposing everyone's dark secrets. This allegorical film was highly controversial at the time of its release, and was banned in France after the Liberation.",6.339,1943-09-28,7.504,232.0,Le Corbeau,1943,original
fr,"Cousin, Cousine","Two distant cousins meet at a wedding banquet for an elderly couple. Over time, a close friendship develops between them, but their spouses begin to think that they are more than just friends.",2.204,1975-11-19,6.4,25.0,Cousin Cousine,1975,original
en,The Crazies,"Citizens of a small town are infected by a biological weapon that causes its victims to become violently insane. As uninfected citizens struggle to survive, the military readies its own response.",8.161,1973-03-16,6.02,300.0,The Crazies,1973,original
en,Criss Cross,"Burt Lancaster plays Steve Thompson, a man who seals his dark fate when he returns to Los Angeles to find his ex-wife Anna Dundee (Yvonne DeCarlo) eager to rekindle their love against all better judgement. She encourages their affair but then quickly marries mobster Slim Dundee (Dan Duryea). To deflect suspicion of the affair, Steve Thompson leads Dundee into a daylight armored-truck robbery.",6.13,1949-02-04,7.236,129.0,Criss Cross,1949,original
,,,,,,,Dehleez,1983,original
en,D.O.A.,"Frank Bigelow is about to die, and he knows it. The accountant has been poisoned and has only 24 hours before the lethal concoction kills him. Determined to find out who his murderer is, Frank, with the help of his assistant and girlfriend, Paula, begins to trace back over his last steps. As he frantically tries to unravel the mystery behind his own impending demise, his sleuthing leads him to a group of crooked businessmen and another murder.",6.87,1950-04-21,6.905,147.0,D.O.A.,1950,original
en,Dark Victory,"Socialite Judith Traherne lives a lavish but emotionally empty life. Riding horses is one of her few joys, and her stable master is secretly in love with her. Told she has a brain tumor by her doctor, Frederick Steele, Judith becomes distraught. After she decides to have surgery to remove the tumor, Judith realizes she is in love with Dr. Steele, but more troubling medical news may sabotage her new relationship, and her second chance at life.",6.269,1939-04-20,7.013,113.0,Dark Victory,1939,original
ja,仄暗い水の底から,A woman in the midst of an unpleasant divorce moves to an eerie apartment building with her young daughter. The ceiling of their apartment has a dark and active leak.,13.269,2002-01-19,6.751,498.0,Dark Water,2002,original
en,Dawn of the Dead,"During an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia SWAT team members, a traffic reporter, and his television-executive girlfriend seek refuge in a secluded shopping mall.",23.051,1978-09-02,7.492,1798.0,Dawn of the Dead,1978,original
en,The Dawn Patrol,"World War I ace Dick Courtney derides the leadership of his superior officer, but he soon is promoted to squadron commander and learns harsh lessons about sending subordinates to their deaths.",1.573,1930-07-10,6.7,19.0,The Dawn Patrol,1930,original
en,Day of the Dead,"Trapped in a missile silo, a small team of scientists, civilians, and trigger-happy soldiers battle desperately to ensure the survival of the human race. However, the tension inside the base is reaching a breaking point, and the zombies are gathering outside.",13.132,1985-07-03,7.027,1040.0,Day of the Dead,1985,original
en,The Day of the Jackal,"An international assassin known as ‘The Jackal’ is employed by disgruntled French generals to kill President Charles de Gaulle, with a dedicated gendarme on the assassin’s trail.",26.534,1973-05-15,7.534,456.0,The Day of the Jackal,1973,original
en,The Day the Earth Stood Still,An alien and a robot land on Earth after World War II and tell mankind to be peaceful or face destruction.,17.237,1951-09-28,7.502,935.0,The Day the Earth Stood Still,1951,original
en,Death at a Funeral,A myriad of outrageous calamities befalls an eccentric English clan with more than a few skeletons in its closets when the family's patriarch dies an unexpected death.,11.226,2007-08-17,6.878,1504.0,Death at a Funeral,2007,original
en,Death Game,"George Manning is a well-to-do businessman, husband, and father. While his family is away on his birthday, he invites a pair of rain-soaked young women into his house to wait out an evening thunderstorm. The two girls seduce Manning and ultimately kidnap and torture him in his own home.",4.049,1977-05-01,5.7,22.0,Death Game,1977,original
en,Death Race 2000,"In a boorish future, the government sponsors a popular, but bloody, cross-country race in which points are scored by mowing down pedestrians. Five teams, each comprised of a male and female, compete using cars equipped with deadly weapons. Frankenstein, the mysterious returning champion, has become America's hero, but this time he has a passenger from the underground resistance.",12.691,1975-04-30,6.043,396.0,Death Race 2000,1975,original
